pl_hostname,pl_rade,pl_eqt
GJ 143,2.610,422
WASP-190,12.890,1500
GJ 143,0.892,701
K2-133,1.730,296
K2-293,2.450,750
K2-294,1.660,1425
K2-295,10.054,852
HD 15337,1.640,1001
HD 15337,2.390,642
Qatar-8,14.404,1457
Qatar-9,11.310,1134
Qatar-10,17.295,1955
WASP-177,17.710,1142
WASP-181,13.271,1186
WASP-183,16.477,1111
HD 2685,16.141,2061
K2-287,9.494,804
TOI 216,7.690,628
TOI 216,11.290,497
KELT-23 A,14.830,1561
HATS-59,12.621,1128
Kepler-730,1.569,1607
LHS 3844,1.303,805
TOI 150,15.468,1493
LHS 1140,1.282,438
KOI-3680,11.097,347
K2-52,18.000,2004
K2-53,2.600,665
K2-60,7.656,1400
K2-66,2.490,1372
MASCARA-1,16.814,2570
GJ 9827,1.620,1172
GJ 9827,1.269,811
GJ 9827,2.070,680
Kepler-80,1.130,418
KOI-351,1.320,709
HATS-51,15.805,1553
HATS-52,15.491,1834
HATS-53,15.020,1312
KELT-19 A,21.409,1935
HATS-36,12.920,1203
K2-146,2.150,534
K2-107,15.980,1649
WASP-53,12.038,1053
WASP-81,16.018,1623
K2-108,5.330,1360
KELT-16,15.861,2453
TRAPPIST-1,0.918,251
TRAPPIST-1,1.045,219
TRAPPIST-1,1.127,199
TRAPPIST-1,0.752,173
HATS-22,10.682,858
HATS-23,20.849,1654
HATS-24,16.668,2067
NGTS-2,17.878,1468
EPIC 246851721,11.781,1401
K2-266,3.300,1515
K2-266,0.705,665
K2-266,2.930,538
K2-266,2.730,490
WASP-147,12.498,1404
WASP-160 B,12.218,1119
WASP-164,12.644,1610
WASP-165,14.123,1624
K2-220,2.390,758
K2-222,2.390,801
K2-223,0.890,2271
K2-223,1.570,1091
K2-151,1.490,566
K2-152,2.290,337
K2-153,2.000,497
K2-154,1.990,715
K2-154,2.070,552
K2-155,1.800,708
K2-155,2.600,583
K2-155,1.900,381
KELT-21,17.777,2051
LHS 1140,1.727,235
KELT-12,19.952,1800
HIP 65426,16.814,1500
K2-224,1.560,1002
K2-225,3.490,902
K2-226,1.540,1120
K2-228,1.210,914
K2-229,1.140,1818
K2-229,2.030,750
K2-230,1.960,1529
K2-239,1.100,502
K2-239,1.000,427
K2-239,1.100,399
K2-240,2.000,586
K2-240,1.800,389
K2-87,7.600,979
K2-90,2.600,502
K2-95,3.880,383
HD 3167,1.700,1669
HD 3167,2.860,531
HR 2562,12.442,1200
KELT-17,17.094,2087
WASP-92,16.376,1871
K2-174,2.600,455
K2-180,2.310,731
WASP-167,17.710,2329
WASP-91,11.545,1160
WASP-105,10.761,900
WASP-107,10.536,770
K2-131,1.700,2062
KELT-20,19.515,2262
NGTS-1,14.908,790
K2-136,0.990,553
K2-136,2.910,425
K2-136,1.450,373
K2-137,0.890,1471
Kepler-1652,1.600,268
Kepler-1653,2.170,284
K2-139,9.110,524
K2-140,12.250,957
WASP-174,14.572,1490
K2-263,2.410,470
K2-264,2.231,496
K2-264,2.668,331
HD 39091,2.042,1170
Kepler-1654,9.180,206
K2-233,1.335,728
WASP-93,17.901,1942
WASP-118,16.141,1729
K2-105,3.370,814
K2-99,11.730,1113
WASP-85 A,13.899,1452
WASP-113,15.793,1496
K2-117,2.060,537
K2-117,2.030,868
K2-119,2.530,666
K2-121,7.500,723
K2-122,1.210,814
K2-123,2.760,338
K2-124,2.900,442
K2-126,1.970,601
K2-127,8.370,809
K2-156,1.150,1347
K2-158,2.640,794
K2-159,2.260,684
K2-162,1.440,631
K2-166,2.190,1140
K2-233,2.640,482
KPS-1,11.545,1459
K2-233,1.398,1040
HATS-43,13.227,1003
HATS-44,11.960,1161
HATS-45,14.415,1518
HATS-46,10.122,1054
HATS-7,6.311,1084
HD 89345,7.398,1089
EPIC 211945201,5.760,817
WASP-114,15.009,2043
HAT-P-65,21.185,1930
HAT-P-66,17.822,1896
HATS-18,14.986,2060
WASP-130,9.976,833
WASP-131,13.675,1460
WASP-132,9.752,763
WASP-139,8.967,910
WASP-140,16.141,1320
WASP-141,13.563,1540
WASP-142,17.150,2000
WASP-151,12.666,1290
WASP-153,17.374,1700
WASP-156,5.717,970
K2-181,2.840,962
K2-182,2.760,885
K2-183,2.870,787
K2-183,2.860,615
K2-184,1.550,580
K2-187,1.300,1815
K2-187,1.800,1173
